audio_path,audio_relpath,condition_id,emo_key,emotion_a,emotion_b,expected_dominance,expected_relation,intensity_value,item_id,mix_ratio,pair_id,pair_label,part,question,role,selection_note,source_emotion,source_path,system,target_emotion,text_id,used_for_part1a
/data/junchuan/EmoSimplex/mos-survey/audios/cosyvoice_ours/part2_inconsistent/06_sad_to_happy_t05.wav,cosyvoice_ours/part2_inconsistent/06_sad_to_happy_t05.wav,inc_06,sad_to_happy,,,,,,cosyvoice_ours_part2_inconsistent_006,,,,part2_inconsistent,,,selected from user-approved inconsistent conversion list,sad,/data/junchuan/EmoSimplex/demo/CosyVoice/zh/inconsistent/sad_to_happy/t05.wav,CosyVoice-Ours,happy,t05,
/data/junchuan/EmoSimplex/mos-survey/audios/cosyvoice_ours/part2_inconsistent/07_sad_to_surprise_t05.wav,cosyvoice_ours/part2_inconsistent/07_sad_to_surprise_t05.wav,inc_07,sad_to_surprise,,,,,,cosyvoice_ours_part2_inconsistent_007,,,,part2_inconsistent,,,selected from user-approved inconsistent conversion list,sad,/data/junchuan/EmoSimplex/demo/CosyVoice/zh/inconsistent/sad_to_surprise/t05.wav,CosyVoice-Ours,surprise,t05,
/data/junchuan/EmoSimplex/mos-survey/audios/cosyvoice_ours/part2_inconsistent/08_angry_to_happy_t06.wav,cosyvoice_ours/part2_inconsistent/08_angry_to_happy_t06.wav,inc_08,angry_to_happy,,,,,,cosyvoice_ours_part2_inconsistent_008,,,,part2_inconsistent,,,selected from user-approved inconsistent conversion list,angry,/data/junchuan/EmoSimplex/demo/CosyVoice/zh/inconsistent/angry_to_happy/t06.wav,CosyVoice-Ours,happy,t06,
/data/junchuan/EmoSimplex/mos-survey/audios/cosyvoice_ours/part2_inconsistent/09_angry_to_surprise_t06.wav,cosyvoice_ours/part2_inconsistent/09_angry_to_surprise_t06.wav,inc_09,angry_to_surprise,,,,,,cosyvoice_ours_part2_inconsistent_009,,,,part2_inconsistent,,,selected from user-approved inconsistent conversion list,angry,/data/junchuan/EmoSimplex/demo/CosyVoice/zh/inconsistent/angry_to_surprise/t06.wav,CosyVoice-Ours,surprise,t06,
/data/junchuan/EmoSimplex/mos-survey/audios/cosyvoice_ours/part2_inconsistent/10_fear_to_angry_t06.wav,cosyvoice_ours/part2_inconsistent/10_fear_to_angry_t06.wav,inc_10,fear_to_angry,,,,,,cosyvoice_ours_part2_inconsistent_010,,,,part2_inconsistent,,,selected from user-approved inconsistent conversion list,fear,/data/junchuan/EmoSimplex/demo/CosyVoice/zh/inconsistent/fear_to_angry/t06.wav,CosyVoice-Ours,angry,t06,
/data/junchuan/EmoSimplex/mos-survey/audios/cosyvoice_ours/part2_inconsistent/11_fear_to_happy_t06.wav,cosyvoice_ours/part2_inconsistent/11_fear_to_happy_t06.wav,inc_11,fear_to_happy,,,,,,cosyvoice_ours_part2_inconsistent_011,,,,part2_inconsistent,,,selected from user-approved inconsistent conversion list,fear,/data/junchuan/EmoSimplex/demo/CosyVoice/zh/inconsistent/fear_to_happy/t06.wav,CosyVoice-Ours,happy,t06,
/data/junchuan/EmoSimplex/mos-survey/audios/cosyvoice_ours/part2_inconsistent/12_fear_to_surprise_t06.wav,cosyvoice_ours/part2_inconsistent/12_fear_to_surprise_t06.wav,inc_12,fear_to_surprise,,,,,,cosyvoice_ours_part2_inconsistent_012,,,,part2_inconsistent,,,selected from user-approved inconsistent conversion list,fear,/data/junchuan/EmoSimplex/demo/CosyVoice/zh/inconsistent/fear_to_surprise/t06.wav,CosyVoice-Ours,surprise,t06,
/data/junchuan/EmoSimplex/mos-survey/audios/cosyvoice_ours/part1b_intensity_pair/01_happy_n00_A_alpha0.50.wav,cosyvoice_ours/part1b_intensity_pair/01_happy_n00_A_alpha0.50.wav,,,,,,A > B,alpha0.50,cosyvoice_ours_part1b_intensity_pair_001,,cosyvoice_ours_part1b_pair_01_happy_n00,A,part1b_intensity_pair,Is A more emotionally intense than B?,stronger,adjacent intensity pair updated to alpha 0.50 vs 0.00,,/data/junchuan/EmoSimplex/demo/CosyVoice/zh/intensity/happy/n00/alpha_0.50.wav,CosyVoice-Ours,happy,n00,
/data/junchuan/EmoSimplex/mos-survey/audios/cosyvoice_ours/part1b_intensity_pair/01_happy_n00_B_alpha0.00.wav,cosyvoice_ours/part1b_intensity_pair/01_happy_n00_B_alpha0.00.wav,,,,,,A > B,alpha0.00,cosyvoice_ours_part1b_intensity_pair_002,,cosyvoice_ours_part1b_pair_01_happy_n00,B,part1b_intensity_pair,Is A more emotionally intense than B?,weaker,adjacent intensity pair updated to alpha 0.50 vs 0.00,,/data/junchuan/EmoSimplex/demo/CosyVoice/zh/intensity/happy/n00/alpha_0.00.wav,CosyVoice-Ours,happy,n00,
/data/junchuan/EmoSimplex/mos-survey/audios/cosyvoice_ours/part1b_intensity_pair/02_sad_n00_A_alpha0.50.wav,cosyvoice_ours/part1b_intensity_pair/02_sad_n00_A_alpha0.50.wav,,,,,,A > B,alpha0.50,cosyvoice_ours_part1b_intensity_pair_003,,cosyvoice_ours_part1b_pair_02_sad_n00,A,part1b_intensity_pair,Is A more emotionally intense than B?,stronger,adjacent intensity pair updated to alpha 0.50 vs 0.00,,/data/junchuan/EmoSimplex/demo/CosyVoice/zh/intensity/sad/n00/alpha_0.50.wav,CosyVoice-Ours,sad,n00,
/data/junchuan/EmoSimplex/mos-survey/audios/cosyvoice_ours/part1b_intensity_pair/02_sad_n00_B_alpha0.00.wav,cosyvoice_ours/part1b_intensity_pair/02_sad_n00_B_alpha0.00.wav,,,,,,A > B,alpha0.00,cosyvoice_ours_part1b_intensity_pair_004,,cosyvoice_ours_part1b_pair_02_sad_n00,B,part1b_intensity_pair,Is A more emotionally intense than B?,weaker,adjacent intensity pair updated to alpha 0.50 vs 0.00,,/data/junchuan/EmoSimplex/demo/CosyVoice/zh/intensity/sad/n00/alpha_0.00.wav,CosyVoice-Ours,sad,n00,
/data/junchuan/EmoSimplex/mos-survey/audios/cosyvoice_ours/part1b_intensity_pair/03_angry_n00_A_alpha0.50.wav,cosyvoice_ours/part1b_intensity_pair/03_angry_n00_A_alpha0.50.wav,,,,,,A > B,alpha0.50,cosyvoice_ours_part1b_intensity_pair_005,,cosyvoice_ours_part1b_pair_03_angry_n00,A,part1b_intensity_pair,Is A more emotionally intense than B?,stronger,adjacent intensity pair updated to alpha 0.50 vs 0.00,,/data/junchuan/EmoSimplex/demo/CosyVoice/zh/intensity/angry/n00/alpha_0.50.wav,CosyVoice-Ours,angry,n00,
/data/junchuan/EmoSimplex/mos-survey/audios/cosyvoice_ours/part1b_intensity_pair/03_angry_n00_B_alpha0.00.wav,cosyvoice_ours/part1b_intensity_pair/03_angry_n00_B_alpha0.00.wav,,,,,,A > B,alpha0.00,cosyvoice_ours_part1b_intensity_pair_006,,cosyvoice_ours_part1b_pair_03_angry_n00,B,part1b_intensity_pair,Is A more emotionally intense than B?,weaker,adjacent intensity pair updated to alpha 0.50 vs 0.00,,/data/junchuan/EmoSimplex/demo/CosyVoice/zh/intensity/angry/n00/alpha_0.00.wav,CosyVoice-Ours,angry,n00,
/data/junchuan/EmoSimplex/mos-survey/audios/cosyvoice_ours/part1b_intensity_pair/04_surprise_n00_A_alpha0.50.wav,cosyvoice_ours/part1b_intensity_pair/04_surprise_n00_A_alpha0.50.wav,,,,,,A > B,alpha0.50,cosyvoice_ours_part1b_intensity_pair_007,,cosyvoice_ours_part1b_pair_04_surprise_n00,A,part1b_intensity_pair,Is A more emotionally intense than B?,stronger,adjacent intensity pair updated to alpha 0.50 vs 0.00,,/data/junchuan/EmoSimplex/demo/CosyVoice/zh/intensity/surprise/n00/alpha_0.50.wav,CosyVoice-Ours,surprise,n00,
/data/junchuan/EmoSimplex/mos-survey/audios/cosyvoice_ours/part1b_intensity_pair/04_surprise_n00_B_alpha0.00.wav,cosyvoice_ours/part1b_intensity_pair/04_surprise_n00_B_alpha0.00.wav,,,,,,A > B,alpha0.00,cosyvoice_ours_part1b_intensity_pair_008,,cosyvoice_ours_part1b_pair_04_surprise_n00,B,part1b_intensity_pair,Is A more emotionally intense than B?,weaker,adjacent intensity pair updated to alpha 0.50 vs 0.00,,/data/junchuan/EmoSimplex/demo/CosyVoice/zh/intensity/surprise/n00/alpha_0.00.wav,CosyVoice-Ours,surprise,n00,
/data/junchuan/EmoSimplex/mos-survey/audios/cosyvoice_ours/part1b_intensity_pair/05_happy_n01_A_alpha0.50.wav,cosyvoice_ours/part1b_intensity_pair/05_happy_n01_A_alpha0.50.wav,,,,,,A > B,alpha0.50,cosyvoice_ours_part1b_intensity_pair_009,,cosyvoice_ours_part1b_pair_05_happy_n01,A,part1b_intensity_pair,Is A more emotionally intense than B?,stronger,adjacent intensity pair updated to alpha 0.50 vs 0.00,,/data/junchuan/EmoSimplex/demo/CosyVoice/zh/intensity/happy/n01/alpha_0.50.wav,CosyVoice-Ours,happy,n01,
/data/junchuan/EmoSimplex/mos-survey/audios/cosyvoice_ours/part1b_intensity_pair/05_happy_n01_B_alpha0.00.wav,cosyvoice_ours/part1b_intensity_pair/05_happy_n01_B_alpha0.00.wav,,,,,,A > B,alpha0.00,cosyvoice_ours_part1b_intensity_pair_010,,cosyvoice_ours_part1b_pair_05_happy_n01,B,part1b_intensity_pair,Is A more emotionally intense than B?,weaker,adjacent intensity pair updated to alpha 0.50 vs 0.00,,/data/junchuan/EmoSimplex/demo/CosyVoice/zh/intensity/happy/n01/alpha_0.00.wav,CosyVoice-Ours,happy,n01,
/data/junchuan/EmoSimplex/mos-survey/audios/cosyvoice_ours/part3_mixed/01_happy_sad_n00_ratio0.25.wav,cosyvoice_ours/part3_mixed/01_happy_sad_n00_ratio0.25.wav,mix_01,happy+sad,happy,sad,sad,,,cosyvoice_ours_part3_mixed_001,0.25,,,part3_mixed,,,"mixed ratios diversified for dominance judgment: 0.25=B dominant, 0.50=equal, 0.75=A dominant",,/data/junchuan/EmoSimplex/demo/CosyVoice/zh/mixed/happy+sad/n00/ratio_0.25.wav,CosyVoice-Ours,,n00,
/data/junchuan/EmoSimplex/mos-survey/audios/cosyvoice_ours/part3_mixed/02_happy_sad_n01_ratio0.75.wav,cosyvoice_ours/part3_mixed/02_happy_sad_n01_ratio0.75.wav,mix_02,happy+sad,happy,sad,happy,,,cosyvoice_ours_part3_mixed_002,0.75,,,part3_mixed,,,"mixed ratios diversified for dominance judgment: 0.25=B dominant, 0.50=equal, 0.75=A dominant",,/data/junchuan/EmoSimplex/demo/CosyVoice/zh/mixed/happy+sad/n01/ratio_0.75.wav,CosyVoice-Ours,,n01,
/data/junchuan/EmoSimplex/mos-survey/audios/cosyvoice_ours/part3_mixed/03_happy_angry_n00_ratio0.25.wav,cosyvoice_ours/part3_mixed/03_happy_angry_n00_ratio0.25.wav,mix_03,happy+angry,happy,angry,angry,,,cosyvoice_ours_part3_mixed_003,0.25,,,part3_mixed,,,"mixed ratios diversified for dominance judgment: 0.25=B dominant, 0.50=equal, 0.75=A dominant",,/data/junchuan/EmoSimplex/demo/CosyVoice/zh/mixed/happy+angry/n00/ratio_0.25.wav,CosyVoice-Ours,,n00,
/data/junchuan/EmoSimplex/mos-survey/audios/cosyvoice_ours/part3_mixed/04_happy_angry_n01_ratio0.75.wav,cosyvoice_ours/part3_mixed/04_happy_angry_n01_ratio0.75.wav,mix_04,happy+angry,happy,angry,happy,,,cosyvoice_ours_part3_mixed_004,0.75,,,part3_mixed,,,"mixed ratios diversified for dominance judgment: 0.25=B dominant, 0.50=equal, 0.75=A dominant",,/data/junchuan/EmoSimplex/demo/CosyVoice/zh/mixed/happy+angry/n01/ratio_0.75.wav,CosyVoice-Ours,,n01,
/data/junchuan/EmoSimplex/mos-survey/audios/cosyvoice_ours/part3_mixed/05_happy_surprise_n00_ratio0.25.wav,cosyvoice_ours/part3_mixed/05_happy_surprise_n00_ratio0.25.wav,mix_05,happy+surprise,happy,surprise,surprise,,,cosyvoice_ours_part3_mixed_005,0.25,,,part3_mixed,,,"mixed ratios diversified for dominance judgment: 0.25=B dominant, 0.50=equal, 0.75=A dominant",,/data/junchuan/EmoSimplex/demo/CosyVoice/zh/mixed/happy+surprise/n00/ratio_0.25.wav,CosyVoice-Ours,,n00,
/data/junchuan/EmoSimplex/mos-survey/audios/cosyvoice_ours/part3_mixed/06_happy_surprise_n01_ratio0.75.wav,cosyvoice_ours/part3_mixed/06_happy_surprise_n01_ratio0.75.wav,mix_06,happy+surprise,happy,surprise,happy,,,cosyvoice_ours_part3_mixed_006,0.75,,,part3_mixed,,,"mixed ratios diversified for dominance judgment: 0.25=B dominant, 0.50=equal, 0.75=A dominant",,/data/junchuan/EmoSimplex/demo/CosyVoice/zh/mixed/happy+surprise/n01/ratio_0.75.wav,CosyVoice-Ours,,n01,
/data/junchuan/EmoSimplex/mos-survey/audios/cosyvoice_ours/part3_mixed/07_sad_angry_n00_ratio0.25.wav,cosyvoice_ours/part3_mixed/07_sad_angry_n00_ratio0.25.wav,mix_07,sad+angry,sad,angry,angry,,,cosyvoice_ours_part3_mixed_007,0.25,,,part3_mixed,,,"mixed ratios diversified for dominance judgment: 0.25=B dominant, 0.50=equal, 0.75=A dominant",,/data/junchuan/EmoSimplex/demo/CosyVoice/zh/mixed/sad+angry/n00/ratio_0.25.wav,CosyVoice-Ours,,n00,
/data/junchuan/EmoSimplex/mos-survey/audios/cosyvoice_ours/part3_mixed/08_sad_angry_n01_ratio0.75.wav,cosyvoice_ours/part3_mixed/08_sad_angry_n01_ratio0.75.wav,mix_08,sad+angry,sad,angry,sad,,,cosyvoice_ours_part3_mixed_008,0.75,,,part3_mixed,,,"mixed ratios diversified for dominance judgment: 0.25=B dominant, 0.50=equal, 0.75=A dominant",,/data/junchuan/EmoSimplex/demo/CosyVoice/zh/mixed/sad+angry/n01/ratio_0.75.wav,CosyVoice-Ours,,n01,
/data/junchuan/EmoSimplex/mos-survey/audios/cosyvoice_ours/part3_mixed/09_surprise_fear_n00_ratio0.50.wav,cosyvoice_ours/part3_mixed/09_surprise_fear_n00_ratio0.50.wav,mix_09,surprise+fear,surprise,fear,equal,,,cosyvoice_ours_part3_mixed_009,0.50,,,part3_mixed,,,"mixed ratios diversified for dominance judgment: 0.25=B dominant, 0.50=equal, 0.75=A dominant",,/data/junchuan/EmoSimplex/demo/CosyVoice/zh/mixed/surprise+fear/n00/ratio_0.50.wav,CosyVoice-Ours,,n00,
/data/junchuan/EmoSimplex/mos-survey/audios/cosyvoice_ours/part3_mixed/10_surprise_fear_n01_ratio0.50.wav,cosyvoice_ours/part3_mixed/10_surprise_fear_n01_ratio0.50.wav,mix_10,surprise+fear,surprise,fear,equal,,,cosyvoice_ours_part3_mixed_010,0.50,,,part3_mixed,,,"mixed ratios diversified for dominance judgment: 0.25=B dominant, 0.50=equal, 0.75=A dominant",,/data/junchuan/EmoSimplex/demo/CosyVoice/zh/mixed/surprise+fear/n01/ratio_0.50.wav,CosyVoice-Ours,,n01,
